case_id,trigger,hypothesis,evidence_for,evidence_against,statistical_strength,business_magnitude,alternative_explanation,status,decision
RC1,Observed tail decline in 2018-10 versus 2018-07; only 4 orders in the final observed month.,H1 seller count collapse,Final tail reports nan active sellers versus 1278 in 2018-08.,The tail is a partial observation and is excluded by the complete-period rule.,measurement evidence,edge-month GMV is 0.00 versus 854686.33 in the prior complete month,delayed or truncated extract,Inconclusive as a business collapse,gate executive reporting on completeness
RC1,Observed tail decline in 2018-10 versus 2018-07; only 4 orders in the final observed month.,H2 seller productivity collapse,Observed GMV per seller is not interpretable in the four-order tail.,Complete months retain normal seller productivity; the denominator itself is incomplete.,measurement evidence,tail is not decision-eligible,partial-month mix,Rejected as the primary explanation,do not escalate commercial action from the tail
RC1,Observed tail decline in 2018-10 versus 2018-07; only 4 orders in the final observed month.,H3 AOV collapse,"Tail AOV is 0.00, driven by four orders.",AOV is computed on an ineligible partial period.,measurement evidence,tail AOV is not comparable,small-sample volatility,Rejected as a headline explanation,flag partial periods
RC1,Observed tail decline in 2018-10 versus 2018-07; only 4 orders in the final observed month.,H4 data incompleteness,The last observed months fail the documented complete-month rule.,No raw row-level check can prove the upstream extract's intended end date.,strong measurement evidence,false-alarm risk is material,legitimate seasonality cannot be ruled out without current data,Confirmed measurement issue,enforce a period-completeness gate
RC2,Actionable origins show different conversion rates and sparse groups have wide uncertainty.,H1 optimize raw MQL volume alone,"MQL volume and conversion rank different origins; social contributes 1,350 MQLs but converts at 5.6%.",Volume is not downstream value and unknown is not actionable.,descriptive + association,paid vs social gap is 6.7 percentage points,channel mix and sales routing,Rejected hypothesis,use a multidimensional channel scorecard
RC2,Actionable origins show different conversion rates and sparse groups have wide uncertainty.,H2 origin is associated with conversion,Global origin test and FDR-adjusted pairwise tests provide evidence of conversion differences.,Effect size is modest and does not establish causal channel quality.,Level 2 association,Cramér's V is 0.131,"selection bias, linkage and unmeasured seller mix",Plausible contributor,separate acquisition efficiency from retention claims
RC2,Actionable origins show different conversion rates and sparse groups have wide uncertainty.,H3 origin-specific retention advantage is established,M3 retention CI table is eligibility-aware.,The adjusted retention model and global M3 test do not provide strong evidence of origin-specific retention intervention.,null / inconclusive,M3 eligible n is 281,cohort timing and censoring,Rejected by current evidence,do not optimize channels on M3 retention alone
RC3,Median first-sale time is 44 days and activation by 30 days is 34.2% among valid links.,H1 seller onboarding has a long time-to-value,Activation timing distribution and cumulative curve show a delayed first sale.,Historical data does not identify which onboarding step caused delay.,descriptive timing evidence,only 34.2% activate by 30 days,"seller readiness, category and demand differences",Supported business signal,instrument 7/30/60-day onboarding checkpoints
RC3,Median first-sale time is 44 days and activation by 30 days is 34.2% among valid links.,H2 faster activation is associated with stronger M3 retention,M3 retention rates decline across activation-speed buckets after the small ≤7d bucket.,The comparison is observational and extreme buckets are small.,descriptive association,31–60d versus >90d rates are 34.4% and 22.7%,reverse causality and seller mix,Plausible contributor,test onboarding interventions with retention as guardrail
RC3,Median first-sale time is 44 days and activation by 30 days is 34.2% among valid links.,H3 origin alone explains activation speed,Activation speed varies by origin in the CI table.,Origin is not the same as seller readiness or onboarding experience.,descriptive comparison,origin differences require volume flags,seller segment and category mix,Inconclusive,target the onboarding journey rather than a channel proxy
RC4,Top 20% of sellers account for 82.7% of seller GMV proxy.,H1 marketplace value is concentrated,Lorenz/Gini and top-share statistics show a long-tailed seller distribution.,"Concentration is measured on historical positive-GMV sellers, not current supply health.",Level 1 descriptive pattern,Gini 0.792; top 1% 26.1%,multi-seller attribution and seller churn,Supported risk signal,monitor top 1/5/10/20% shares
RC4,Top 20% of sellers account for 82.7% of seller GMV proxy.,H2 generic seller diversification is the right immediate action,High concentration creates dependency risk.,The evidence does not identify which categories or states are fragile.,decision evidence,top 20% share 82.7%,some concentration may reflect healthy specialization,Rejected as a generic action,target categories with high GMV and weak seller breadth
