chart_id,chart_file,analysis_domain,business_question,source_table,metric,denominator,eligibility,chart_type,statistical_method,effect_size,confidence_interval,finding,alternative_explanation,decision_supported,claim_strength,powerbi_candidate,readme_candidate,status
TRUST_01,00_measurement_trust/trust_01_raw_to_fact_reconciliation.png,measurement_trust,Did the rebuild preserve row counts at the governed grain?,reviewed row-level Olist source + reports/statistics,row count,raw/fact table rows,tables loaded successfully,paired bars,reconciliation,descriptive,not applicable,raw and fact counts align for the headline tables,mix shift or selection,trust the downstream marts,LEVEL 0,no,no,done
TRUST_02,00_measurement_trust/trust_02_grain_safe_vs_naive_gmv.png,measurement_trust,How large is the fan-out measurement risk?,reviewed row-level Olist source + reports/statistics,GMV proxy,item rows / naive item-payment rows,same historical period,bar,grain reconciliation,4.54% overstatement,not applicable,naive join overstates GMV,none for the arithmetic gap; business interpretation remains proxy,use grain-safe GMV,LEVEL 0,yes,yes,done
TRUST_03,00_measurement_trust/trust_03_order_eligibility_funnel.png,measurement_trust,Which orders are eligible for delivery/review metrics?,reviewed row-level Olist source + reports/statistics,order count,previous funnel stage,non-null item/delivery/review fields,funnel bar,eligibility reconciliation,descriptive,not applicable,experience metrics use a reviewed delivered-order population,mix shift or selection,keep denominators visible,LEVEL 0,no,no,done
TRUST_04,00_measurement_trust/trust_04_seller_linkage_funnel.png,measurement_trust,Where do seller-funnel denominators change?,reviewed row-level Olist source + reports/statistics,seller count,previous stage,closed → matched → valid activation link,funnel bar,linkage reconciliation,descriptive,not applicable,valid activation links are the rate denominator,mix shift or selection,report activation with funnel context,LEVEL 0,no,no,done
TRUST_05,00_measurement_trust/trust_05_retention_observability.png,measurement_trust,Which cohorts are observable at M1/M3/M6?,reviewed row-level Olist source + reports/statistics,eligible cohort sellers,cohort sellers,cohort age reaches the required observation month,line,eligibility/censoring audit,descriptive,not applicable,recent cohorts are right-censored,mix shift or selection,mask unobservable retention cells,LEVEL 0,no,no,done
HEALTH_01,01_marketplace_health/health_01_gmv_orders_active_sellers.png,marketplace_health,"Are GMV, orders and active sellers moving together?",reports/qa/period_completeness.csv,"GMV, orders, active sellers",complete periods only,Canonical repair contract; see source artifact,bar with completeness flag,mechanical completeness gate,descriptive,not applicable,growth should be decomposed into breadth and productivity,mix shift or selection,D01,LEVEL 0,yes,no,done
HEALTH_02,01_marketplace_health/health_02_aov_trend.png,marketplace_health,How is AOV changing across complete months?,reports/qa/period_completeness.csv,AOV,complete periods only,Canonical repair contract; see source artifact,line with edge flag,mechanical completeness gate,descriptive,not applicable,AOV and volume can move independently,mix shift or selection,D01,LEVEL 0,no,no,done
HEALTH_03,01_marketplace_health/health_03_seller_productivity_trend.png,marketplace_health,Is growth coming from deeper seller productivity?,reports/qa/period_completeness.csv,GMV proxy / active seller,complete periods only,Canonical repair contract; see source artifact,line with edge flag,mechanical completeness gate,descriptive,not applicable,breadth and productivity are separable drivers,mix shift or selection,D01,LEVEL 0,yes,no,done
HEALTH_04,01_marketplace_health/health_04_growth_decomposition.png,marketplace_health,What explains complete-month GMV transitions?,reports/tables/growth_decomposition.csv,GMV delta contributions,analytical marketplace months,Canonical repair contract; see source artifact,stacked accounting bars,descriptive decomposition,seller and productivity contributions reconcile to delta,not applicable,growth drivers can switch by transition,mix shift or selection,D01,LEVEL 1,yes,yes,done
HEALTH_05,01_marketplace_health/health_05_orders_vs_aov_matrix.png,marketplace_health,Do orders and AOV move in the same direction?,reports/qa/period_completeness.csv,orders vs AOV,marketplace months,Canonical repair contract; see source artifact,scatter,completeness flag,descriptive,not applicable,volume and AOV are distinct levers,mix shift or selection,D01,LEVEL 1,no,no,done
HEALTH_06,01_marketplace_health/health_06_active_sellers_vs_productivity_matrix.png,marketplace_health,Is growth coming from seller breadth or productivity?,reports/qa/period_completeness.csv,active sellers vs productivity,marketplace months,Canonical repair contract; see source artifact,scatter,completeness flag,descriptive,not applicable,breadth and depth should be monitored together,mix shift or selection,D01,LEVEL 1,yes,no,done
ACQ_01,02_acquisition/acq_01_mql_volume_by_origin.png,acquisition,Where does top-of-funnel volume come from?,reviewed row-level Olist source + reports/statistics,MQL volume,"8,000 MQLs",all leads with origin normalized,horizontal bar,descriptive composition,descriptive,not applicable,organic_search is the largest actionable source,mix shift or selection,set channel scale context,LEVEL 1,no,no,done
ACQ_02,02_acquisition/acq_02_conversion_rate_ci.png,acquisition,Which origins have meaningfully different conversion rates?,reviewed row-level Olist source + reports/statistics,conversion rate,MQLs per origin,origin observed; sample flags apply,dot + error bar,Wilson 95% CI,rate difference + CIs,Wilson 95%,social trails paid and organic search,"selection, mix, and sparse origin volatility",avoid rank-only channel decisions,LEVEL 2,yes,no,done
ACQ_03,02_acquisition/acq_03_volume_vs_conversion_bubble.png,acquisition,Which origins combine scale and conversion?,reviewed row-level Olist source + reports/statistics,MQL volume × conversion,MQLs; bubble = converted sellers,all origins; sparse groups flagged,bubble scatter,descriptive relationship,descriptive,not applicable,social has scale but lower conversion,mix shift or selection,tier channels by scale and efficiency,LEVEL 1,yes,no,done
